Season ,Games ,Won ,Lost ,Tied ,OTL ,SL ,Points ,Pct % ,Goals for,Goals against,Standing,Playoffs
2002–03 ,68,31,27,7,3,- ,72,0.529,220,205,2nd Midwest ,Lost in Semifinals
2003–04 ,68,53,11,2,2,- ,110,0.809,300,147,1st Midwest ,Lost in Conference Final
2004–05 ,68,59,7,2,0,- ,120,0.882,310,125,1st Midwest ,Won OHL Championship & Won Memorial Cup
2005–06 ,68,49,15,- ,1,3,102,0.75,304,211,1st Midwest ,Lost OHL Championship
2006–07 ,68,50,14,- ,1,3,104,0.765,311,231,1st Midwest ,Lost in Conference Final
2007–08 ,68,38,24,- ,4,2,82,0.603,250,230,2nd Midwest ,Lost in Quarterfinals
2008–09 ,68,49,16,- ,1,2,101,0.743,287,194,1st Midwest ,Lost in Conference Final
2009–10 ,68,49,16,- ,1,2,101,0.743,273,208,1st Midwest ,Lost in Semifinals
2010–11 ,68,34,29,- ,4,1,73,0.537,230,253,5th Midwest ,Lost in Quarterfinals
2011–12 ,68,49,18,- ,0,1,99,0.728,277,178,1st Midwest ,Won OHL Championship & Lost Memorial Cup
2012–13 ,68,50,13,- ,2,3,105,0.772,279,180,1st Midwest ,Won OHL Championship & Lost Memorial Cup
2013–14 ,68,49,14,- ,1,4,103,0.757,316,203,3rd Midwest ,Lost in Semifinals & Lost Memorial Cup
2014–15 ,68,40,24,- ,1,3,84,0.618,289,260,2nd Midwest ,Lost in Semifinals
2015–16 ,68,51,14,- ,2,1,105,0.772,319,182,2nd Midwest ,Won OHL Championship & Won Memorial Cup
2016–17 ,68,46,15,- ,3,4,99,0.728,289,194,3rd Midwest ,Lost in Semifinals
2017–18 ,68,39,25,- ,2,2,82,0.603,233,212,3rd Midwest ,Lost in Quarterfinals
2018–19 ,68,46,15,- ,6,1,99,0.728,299,211,1st Midwest ,Lost in Semifinals
2019–20 ,62,45,15,- ,1,1,92,0.742,265,187,1st Midwest ,Cancelled
2020–21 ,0,0,0,- ,0,0,0,0,0,0,Season cancelled ,Cancelled
2021–22 ,68,39,22,- ,5,2,85,0.625,264,232,1st Midwest ,TBD 
